label,speaker,language,dim1,dim2
VF19B_can,VF19B,can,-0.7201350199808957,0.19385870779007908
VF19B_eng,VF19B,eng,-0.15881175110818616,-0.11981219528039123
VF19D_can,VF19D,can,0.5738550897477331,-0.17925786828802348
VF19D_eng,VF19D,eng,0.6599993813728986,-0.1259219502622182
VF21A_can,VF21A,can,0.27083378923697277,-0.029740719559489995
VF21A_eng,VF21A,eng,0.05356081852859915,0.34701990139283945
VF21B_can,VF21B,can,-0.553043817649219,0.004957223174944191
VF21B_eng,VF21B,eng,-0.5348213718843525,-0.04837782247250244
VF21C_can,VF21C,can,-0.55617304408704,-0.31876566289571207
VF21C_eng,VF21C,eng,-0.5306055518553122,-0.4029009049831011
VF21D_can,VF21D,can,-0.47757480065876634,0.394522806092063
VF21D_eng,VF21D,eng,-0.41897792158462244,0.4768113762802665
VF23B_can,VF23B,can,0.6404083528273865,0.3994493941563319
VF23B_eng,VF23B,eng,0.5403228032602635,0.5463709671643577
VF23C_can,VF23C,can,0.11490785002042012,0.656917472759216
VF23C_eng,VF23C,eng,0.22605950842136185,0.7289048515028836
VF26A_can,VF26A,can,0.016394137851904345,-0.6811127055042647
VF26A_eng,VF26A,eng,-0.015748843092248666,-0.7760963817547768
VF32A_can,VF32A,can,0.3970097354344095,-0.5505399057111533
VF32A_eng,VF32A,eng,0.472540655198605,-0.5162865836011706
