label,speaker,language,dim1,dim2,dim3
VF19B_can,VF19B,can,0.18493906791664164,-0.6418481921176725,0.165557658937237
VF19B_eng,VF19B,eng,0.3273319954055584,-0.5091976190691087,0.1271791053438331
VF19D_can,VF19D,can,0.2864659898637017,0.5357820895909876,-0.1620825922889469
VF19D_eng,VF19D,eng,0.22878925858163152,0.6191451584270877,-0.10806395217094984
VF21A_can,VF21A,can,-0.07941524019484444,0.27912267773762844,-0.44528548213348224
VF21A_eng,VF21A,eng,-0.32359086805515247,0.19904014914918253,-0.42981464592528035
VF21B_can,VF21B,can,-0.39163405267294826,-0.4781803232721379,-0.13294753607786017
VF21B_eng,VF21B,eng,-0.3673921011662169,-0.4475830688742752,-0.19303766840424036
VF21C_can,VF21C,can,0.11085012240641855,-0.47809039751485133,-0.29958757422335597
VF21C_eng,VF21C,eng,0.19104008873496467,-0.43392162959555924,-0.3818398971570159
VF21D_can,VF21D,can,-0.3353633636819733,-0.3788557898464828,0.31097923306809117
VF21D_eng,VF21D,eng,-0.36453164674810823,-0.3376432794077826,0.34191855868358073
VF23B_can,VF23B,can,-0.2170578803633057,0.5227296044301651,0.3565130670227439
VF23B_eng,VF23B,eng,-0.34357877293791733,0.47370408794138663,0.29785400968278997
VF23C_can,VF23C,can,-0.6457565185784139,0.25205880844703576,-0.00723616987075212
VF23C_eng,VF23C,eng,-0.6712192296137265,0.3577043049077792,0.027522544696763122
VF26A_can,VF26A,can,0.4775592286458095,0.10958830450088561,0.3724726985975365
VF26A_eng,VF26A,eng,0.5383366743223048,0.0790131514982418,0.4004387173405197
VF32A_can,VF32A,can,0.6923001683721256,0.15542098467857815,-0.09938051875317513
VF32A_eng,VF32A,eng,0.7019270797633972,0.12201097838891191,-0.1411595563681794
