label,speaker,language,dim1,dim2,dim3,dim4
VF19B_can,VF19B,can,-0.45034086364847387,0.27404980800930673,0.2603415745604906,-0.2671344663966599
VF19B_eng,VF19B,eng,-0.2969960272245991,0.2871803798222535,0.23471251507516516,-0.32116873503708004
VF19D_can,VF19D,can,0.5337216367841038,-0.3725218702679363,-0.21572459822406168,0.03342206700747509
VF19D_eng,VF19D,eng,0.5401527255555796,-0.3779885786675606,-0.23074118446812264,0.0763544001621313
VF21A_can,VF21A,can,0.15850748910587786,0.25825873715860803,-0.44871894506082216,-0.14137045582049848
VF21A_eng,VF21A,eng,0.03345963275202249,0.3696057849554918,-0.45362821448144913,-0.1073969532831198
VF21B_can,VF21B,can,-0.41597875537506307,-0.50613687879579,-0.06962289726785537,0.17642638628506452
VF21B_eng,VF21B,eng,-0.3776321440594546,-0.5491391114813333,-0.08621473021642552,0.15012120086842085
VF21C_can,VF21C,can,-0.35876194488573504,-0.42495089288187443,-0.12802068826327345,-0.2831904090743973
VF21C_eng,VF21C,eng,-0.30806259147789355,-0.3710002970503798,-0.16862295564228563,-0.3658846274907389
VF21D_can,VF21D,can,-0.6327503334615667,0.2062773093776519,-0.061911978648212185,0.17279603841495783
VF21D_eng,VF21D,eng,-0.6133531050945106,0.3087830587866606,-0.1192285146031352,0.15621140002768522
VF23B_can,VF23B,can,0.2114303342963952,0.0640022651079076,-0.032455780034874857,0.5177519309803387
VF23B_eng,VF23B,eng,0.23285630557967865,0.22148505607918784,-0.023151988261079018,0.4711379563394486
VF23C_can,VF23C,can,0.2292408059493023,0.6734702823840206,0.11846357358523787,0.0724040268672369
VF23C_eng,VF23C,eng,0.26731488686547045,0.7038555968929567,0.09167170310417254,0.12470096641538696
VF26A_can,VF26A,can,0.11192193302528089,-0.2666415549578971,0.48918402130301064,0.08854713472007193
VF26A_eng,VF26A,eng,0.08844340824507657,-0.2784967548505703,0.5275418266843316,0.08060941548692696
VF32A_can,VF32A,can,0.5322179832443117,-0.1401910375603541,0.17712642216917568,-0.2950282635000745
VF32A_eng,VF32A,eng,0.514608623824234,-0.07990130206029926,0.13900083869035978,-0.3393090129725776
