label,speaker,language,dim1,dim2,dim3,dim4,dim5,dim6
VF19B_can,VF19B,can,-0.36905005217139003,-0.12230001718902664,0.060416135742629544,0.02051759684933285,0.0810218455609351,-0.377179717841636
VF19B_eng,VF19B,eng,-0.25451062958073717,-0.1005473836265379,0.056820124480487046,0.008932058844095838,0.08042638480424483,-0.3868687065666164
VF19D_can,VF19D,can,0.4309910518340714,0.020448886255126107,-0.14042236143901565,0.0016815079436659124,-0.05741684472266563,0.33614437884693654
VF19D_eng,VF19D,eng,0.3826440702800128,0.06437323180392218,-0.10908962451843304,0.010617250145785982,-0.052978271415395184,0.37126521487804526
VF21A_can,VF21A,can,0.3311317355291462,0.125024549311251,-0.3141096957012099,-0.16129107773354703,-0.29707152346809634,-0.15788012873853904
VF21A_eng,VF21A,eng,0.21345499575880503,0.24310970891188174,-0.32936200478938665,-0.1587527602473146,-0.29463377765739807,-0.1631820146829
VF21B_can,VF21B,can,-0.3550951431266431,-0.4525652040843109,-0.38128103494432847,0.11718471965024843,0.06108803595303963,0.05027571848222967
VF21B_eng,VF21B,eng,-0.37595323836243305,-0.4112776408538165,-0.3828551635597962,0.09231519771669801,0.10224460145989653,0.0704567545317825
VF21C_can,VF21C,can,-0.3681755869000032,-0.2846357175926373,0.11838018624088423,-0.3749714133176249,0.13679592457061257,0.13535781302422503
VF21C_eng,VF21C,eng,-0.30155550280819204,-0.25292978696177937,0.10963752879369928,-0.4633328300928803,0.10071982006664984,0.11313731603413171
VF21D_can,VF21D,can,-0.3972653337223194,-0.15247823819046544,0.12811351063458276,0.10284811060224036,-0.3980306433527584,0.07786680982051837
VF21D_eng,VF21D,eng,-0.42000213950098164,-0.06624754637038513,0.14798011294593247,0.08227178043979205,-0.411897066097061,0.06750311754290361
VF23B_can,VF23B,can,-0.007103143777553687,0.3030411393491653,-0.003535615003682508,0.5438449774508304,0.10043014620698645,0.015752332886645938
VF23B_eng,VF23B,eng,-0.08734045269895582,0.4065026730284718,0.02933668520322833,0.4817202053183043,0.1345036701207626,0.04074475828627496
VF23C_can,VF23C,can,-0.1466340486965083,0.7487141922870018,0.1485668698223209,-0.15431681563073837,0.05048950912985084,0.013661024949199001
VF23C_eng,VF23C,eng,-0.16872346744047242,0.7927832671490602,0.11994883587440372,-0.12275941790453333,0.07418935170342673,0.02775053985894977
VF26A_can,VF26A,can,0.41982218276038197,-0.3442969239084428,0.43475857422546915,0.08666217523374507,-0.08097099500736026,-0.047604857680311426
VF26A_eng,VF26A,eng,0.42961908331401255,-0.32786557459286436,0.47153071490668963,0.05632339976339071,-0.07322261590587499,-0.05151795111350173
VF32A_can,VF32A,can,0.5475683460925586,-0.11760295992028696,-0.07324168848409823,-0.08829277785497702,0.3568929945925061,-0.0685578811030329
VF32A_eng,VF32A,eng,0.49617727321724975,-0.07125065480537514,-0.09159209043013819,-0.08120188717652334,0.38741945345770634,-0.06712452141527207
