label,speaker,language,dim1,dim2
VF19B_can,VF19B,can,-0.46367793053501294,-0.541098158639827
VF19B_eng,VF19B,eng,-0.19598505158830398,0.1174956905080745
VF19D_can,VF19D,can,0.4653442900416875,0.404281395988739
VF19D_eng,VF19D,eng,0.5983801779517064,0.3659305553162244
VF21A_can,VF21A,can,0.2871990477457521,0.186345280354189
VF21A_eng,VF21A,eng,0.1786278349003722,-0.31661120568582746
VF21B_can,VF21B,can,-0.3759870262703307,-0.23188719743573927
VF21B_eng,VF21B,eng,-0.33652329734288516,-0.2315688008520606
VF21C_can,VF21C,can,-0.6963150964800265,-0.02520031033128063
VF21C_eng,VF21C,eng,-0.6751960959691752,0.08550982189955708
VF21D_can,VF21D,can,-0.6234212973234513,-0.3900080730950698
VF21D_eng,VF21D,eng,-0.15565908795222466,-0.626996090674993
VF23B_can,VF23B,can,0.7739322094673744,-0.08938739577409219
VF23B_eng,VF23B,eng,0.7053677172523586,-0.24526730112957043
VF23C_can,VF23C,can,0.4117332836698061,-0.5253103676387355
VF23C_eng,VF23C,eng,0.5651363571853217,-0.5456472107030241
VF26A_can,VF26A,can,-0.3448104942239811,0.6197009349458704
VF26A_eng,VF26A,eng,-0.37106817799985176,0.6436418264476225
VF32A_can,VF32A,can,0.1390837281943053,0.6777711711487289
VF32A_eng,VF32A,eng,0.11383890927657424,0.6683054353512474
