label,speaker,language,dim1,dim2,dim3,dim4,dim5
VF19B_can,VF19B,can,-0.1192872898259576,-0.13433189112899616,-0.018462065844280846,-0.17079143083639997,-0.4625275496824077
VF19B_eng,VF19B,eng,-0.029757618439847408,-0.043706025575018695,-0.021060586622631786,-0.13659156500394473,-0.4687418870193416
VF19D_can,VF19D,can,0.3759362998447712,-0.22416777961171097,-0.01642806433886226,0.4171460353426864,-0.11253653419347709
VF19D_eng,VF19D,eng,0.40791726908545556,-0.296980703012914,-0.0061348566983034335,0.40359862569637783,-0.08936935606100647
VF21A_can,VF21A,can,0.04931110975014294,0.0526308848983991,0.001477000899547139,0.1988725342692632,0.4623117951934779
VF21A_eng,VF21A,eng,0.04125590912960395,-0.028567478886533416,0.014699728624491825,0.1224838775161061,0.4769168285517266
VF21B_can,VF21B,can,-0.7057664347764866,-0.06787132583745042,0.08038422526581526,0.2167965514293054,-0.0497949024974163
VF21B_eng,VF21B,eng,-0.6781519635077138,-0.07461775017634406,0.07404128241833273,0.2625090351443027,-0.07529985594398414
VF21C_can,VF21C,can,-0.1967782050680177,-0.07577848710449767,-0.5382226095049377,0.013392330424170412,-2.3381302600240447e-4
VF21C_eng,VF21C,eng,-0.1660987941538956,-0.04711826453965802,-0.5542851565119515,0.0029541218280819785,0.002380151198741477
VF21D_can,VF21D,can,-0.31235060532954895,-0.5926941790066181,0.006878403167856116,-0.2308403618255132,0.09779325211540688
VF21D_eng,VF21D,eng,-0.25634041807907376,-0.6234182392567175,0.011997016023917782,-0.23196417740876216,0.12453623609238137
VF23B_can,VF23B,can,0.17842462289979835,-0.024259979777430427,0.5645424028789421,-0.014561144618541652,-0.0062312838843845576
VF23B_eng,VF23B,eng,0.2228219857527242,-0.05508787060709906,0.5386453569283637,-0.038177340445810906,-0.005551132657892499
VF23C_can,VF23C,can,0.654645224943141,-0.06740261773886247,-0.07924272150256474,-0.2939446173640333,0.06032255670756513
VF23C_eng,VF23C,eng,0.7401278469644867,-0.08009767173163203,-0.036567004101788994,-0.26459535315820715,0.05069741915139542
VF26A_can,VF26A,can,-0.28593898193921896,0.5242219738792568,0.034552383860988994,-0.3340486838870913,0.09079603050187798
VF26A_eng,VF26A,eng,-0.3125914606749614,0.5281711035581863,0.0266923240676027,-0.3461712770918613,0.10392324050903796
VF32A_can,VF32A,can,0.20632763104338386,0.6772304315115725,-0.055930769251565836,0.2155817648740663,-0.08612043771777306
VF32A_eng,VF32A,eng,0.18629387238119297,0.6538458701440415,-0.02757628975893236,0.2083510751157058,-0.11327075733789453
