label,speaker,language,dim1,dim2
VF19B_can,VF19B,can,-0.2303230647413211,-0.6748261909750786
VF19B_eng,VF19B,eng,-0.23221687010787215,-0.11697878595686939
VF19D_can,VF19D,can,-0.12682872677165902,0.49951765904236634
VF19D_eng,VF19D,eng,-0.07273480526485421,0.5887277647869885
VF21A_can,VF21A,can,0.07898814532683981,0.15005548323417173
VF21A_eng,VF21A,eng,0.6563303130323447,-0.18724970799265056
VF21B_can,VF21B,can,0.027676509991645726,-0.5252077348915467
VF21B_eng,VF21B,eng,-0.00833738757011359,-0.4591181848950636
VF21C_can,VF21C,can,-0.3499262372202296,-0.39344339776845766
VF21C_eng,VF21C,eng,-0.4709005682937864,-0.41963767680265596
VF21D_can,VF21D,can,0.34630052509505865,-0.4745876190136305
VF21D_eng,VF21D,eng,0.4160031509696406,-0.4868085381880632
VF23B_can,VF23B,can,0.47879311801442365,0.5602094508570453
VF23B_eng,VF23B,eng,0.6391144937394376,0.48088193370290977
VF23C_can,VF23C,can,0.6297022279187074,0.08907411198028745
VF23C_eng,VF23C,eng,0.7307894530627232,0.1489529797844342
VF26A_can,VF26A,can,-0.7057770076583503,0.12718729702156792
VF26A_eng,VF26A,eng,-0.8513800022114462,0.11248599389802194
VF32A_can,VF32A,can,-0.5288649029055043,0.43779264007426827
VF32A_eng,VF32A,eng,-0.4264083644056866,0.5429725221020013
