label,speaker,language,dim1,dim2,dim3
VF19B_can,VF19B,can,-0.36495427770339006,-0.5810400330205431,0.08118873126156709
VF19B_eng,VF19B,eng,-0.4102293258939554,-0.4358953403357588,0.0630746431178667
VF19D_can,VF19D,can,-0.18998367400659277,0.5784730777084279,-0.0729357533667111
VF19D_eng,VF19D,eng,-0.14269513637645131,0.6224874168799363,-0.01535693713857671
VF21A_can,VF21A,can,0.17189521538967542,0.3512690302889469,-0.39303903795179207
VF21A_eng,VF21A,eng,0.37878101255376495,0.25585681871197047,-0.42882354646680954
VF21B_can,VF21B,can,0.3078673131036714,-0.5054937681731597,-0.18510184631003346
VF21B_eng,VF21B,eng,0.2703111786275035,-0.4534038907491195,-0.25821619900850834
VF21C_can,VF21C,can,-0.14717442487526158,-0.3455192230896733,-0.35304315634211925
VF21C_eng,VF21C,eng,-0.22201687228893618,-0.26826666485452716,-0.45831207894636583
VF21D_can,VF21D,can,0.24605871394249773,-0.4436885977536768,0.2803944707271411
VF21D_eng,VF21D,eng,0.25388991995423515,-0.45393196265959335,0.3162383657809364
VF23B_can,VF23B,can,0.33190122306866765,0.3148871389233901,0.45050040384775336
VF23B_eng,VF23B,eng,0.4511743547190864,0.3068977142845138,0.3891099533842442
VF23C_can,VF23C,can,0.6955052846715941,0.10156639007880491,-0.00553442637138425
VF23C_eng,VF23C,eng,0.7520715437636626,0.18453989144935112,0.015676586392770503
VF26A_can,VF26A,can,-0.4688703461722682,0.13594020942597687,0.3964716891362093
VF26A_eng,VF26A,eng,-0.5763492559753699,0.11188550170977685,0.4185685857449274
VF32A_can,VF32A,can,-0.6882286084148593,0.247035128880279,-0.0669153963248326
VF32A_eng,VF32A,eng,-0.6489538380872439,0.27640116229459866,-0.17394505116618364
