label,speaker,language,dim1,dim2,dim3,dim4
VF19B_can,VF19B,can,-0.3104598981802909,-0.39485769038967866,-0.27816318560816233,-0.274322226935116
VF19B_eng,VF19B,eng,-0.37142919430774934,-0.26141959009121707,-0.2765636521106618,-0.25208379937241676
VF19D_can,VF19D,can,-0.1728116104343503,0.5020158294751892,0.04395899943823148,0.30587615714901323
VF19D_eng,VF19D,eng,-0.10529232983348921,0.4820329357193736,0.0980668959005806,0.33290196577120346
VF21A_can,VF21A,can,-0.1319713710268174,0.33536226844835026,-0.45813188539342065,0.06384269262958538
VF21A_eng,VF21A,eng,0.023819898660946096,0.22360156038231996,-0.5270029274829167,0.07643458733275067
VF21B_can,VF21B,can,0.342017306311375,-0.40658289057803965,-0.06421257894232707,0.32680614170818034
VF21B_eng,VF21B,eng,0.2643795598214256,-0.37731697746871506,-0.08135144935580696,0.35506941018521393
VF21C_can,VF21C,can,-0.28839488508819755,-0.4471966403299432,-0.018975025626516814,0.27426778203654334
VF21C_eng,VF21C,eng,-0.45885065974531286,-0.3802891245879728,-0.10190835729382865,0.2955200236844049
VF21D_can,VF21D,can,0.15133887128115867,-0.4877538152786194,0.2729160132047024,-0.1904724905181947
VF21D_eng,VF21D,eng,0.15846752443955073,-0.498620222390724,0.24081909942664667,-0.23947101960762954
VF23B_can,VF23B,can,0.5804648085840686,0.22059405999843412,0.36996450045654317,0.06574543510504183
VF23B_eng,VF23B,eng,0.6502764906818037,0.24090840956225532,0.31130815436675136,-6.078011491349082e-4
VF23C_can,VF23C,can,0.6208577988736862,0.053469462835348834,-0.23240039237310217,-0.1995761350199969
VF23C_eng,VF23C,eng,0.6712613516901744,0.09109636360661032,-0.24209630021064515,-0.18056806531962855
VF26A_can,VF26A,can,-0.23956972496260623,0.3931255144109044,0.09917125334353494,-0.39452035160283894
VF26A_eng,VF26A,eng,-0.26573109787700044,0.39854643508397064,0.09508785889918019,-0.44092301034327536
VF32A_can,VF32A,can,-0.5638345484239585,0.16964181697213057,0.3708859258342744,-0.004831513318078786
VF32A_eng,VF32A,eng,-0.5545382904643742,0.14364229461994188,0.37862705352685566,0.08091221758431155
