label,speaker,language,x,y
VF19B_can,VF19B,can,4.338314922333228,0.26378526974075944
VF19B_eng,VF19B,eng,1.368788556923672,1.741408827538528
VF19D_can,VF19D,can,-3.1987396771811416,0.7730170935147183
VF19D_eng,VF19D,eng,-3.992087980344623,0.08106018816270136
VF21A_can,VF21A,can,-1.5594821532490029,0.11494511269360247
VF21A_eng,VF21A,eng,-0.04760615485738043,-1.8234214903769663
VF21B_can,VF21B,can,3.3726352638795785,-0.2808137838463026
VF21B_eng,VF21B,eng,2.997311641408335,-0.06294741319778081
VF21C_can,VF21C,can,3.2314181008054987,1.703829312939535
VF21C_eng,VF21C,eng,2.694267561288214,2.0619890362488014
VF21D_can,VF21D,can,3.265808208837093,-1.971443430937197
VF21D_eng,VF21D,eng,2.8281271005629582,-2.455734829523918
VF23B_can,VF23B,can,-3.723738443440268,-3.3932706632269056
VF23B_eng,VF23B,eng,-2.7542867287993875,-3.914202365673045
VF23C_can,VF23C,can,-0.4799965390005116,-3.4811825562797654
VF23C_eng,VF23C,eng,-1.3901198170858458,-4.817777887366134
VF26A_can,VF26A,can,-0.8301687865418199,4.426399237806863
VF26A_eng,VF26A,eng,-0.3249645455741394,4.9618036373836425
VF32A_can,VF32A,can,-2.763270535573719,3.2462696103937563
VF32A_eng,VF32A,eng,-3.0322099943907386,2.8262870940051097
