item_id,stim1,stim2,spkr1,spkr2,lang1,lang2,utt1,utt2,utterance_pair,speaker_identity,stimulus_language
T001,VF19B_Can_utt1.wav,VF19B_Can_utt2.wav,VF19B,VF19B,Can,Can,utt_c1,utt_c2,c1_c2,same,can
T002,VF19B_Can_utt1.wav,VF19D_Can_utt2.wav,VF19B,VF19D,Can,Can,utt_c1,utt_c2,c1_c2,diff,can
T003,VF19B_Can_utt1.wav,VF21A_Can_utt2.wav,VF19B,VF21A,Can,Can,utt_c1,utt_c2,c1_c2,diff,can
T004,VF19B_Can_utt1.wav,VF21B_Can_utt2.wav,VF19B,VF21B,Can,Can,utt_c1,utt_c2,c1_c2,diff,can
T005,VF19B_Can_utt1.wav,VF21C_Can_utt2.wav,VF19B,VF21C,Can,Can,utt_c1,utt_c2,c1_c2,diff,can
T006,VF19B_Can_utt1.wav,VF21D_Can_utt2.wav,VF19B,VF21D,Can,Can,utt_c1,utt_c2,c1_c2,diff,can
T007,VF19B_Can_utt1.wav,VF23B_Can_utt2.wav,VF19B,VF23B,Can,Can,utt_c1,utt_c2,c1_c2,diff,can
T008,VF19B_Can_utt1.wav,VF23C_Can_utt2.wav,VF19B,VF23C,Can,Can,utt_c1,utt_c2,c1_c2,diff,can
T009,VF19B_Can_utt1.wav,VF26A_Can_utt2.wav,VF19B,VF26A,Can,Can,utt_c1,utt_c2,c1_c2,diff,can
T010,VF19B_Can_utt1.wav,VF32A_Can_utt2.wav,VF19B,VF32A,Can,Can,utt_c1,utt_c2,c1_c2,diff,can
T011,VF19D_Can_utt1.wav,VF19D_Can_utt2.wav,VF19D,VF19D,Can,Can,utt_c1,utt_c2,c1_c2,same,can
T012,VF19D_Can_utt1.wav,VF21A_Can_utt2.wav,VF19D,VF21A,Can,Can,utt_c1,utt_c2,c1_c2,diff,can
T013,VF19D_Can_utt1.wav,VF21B_Can_utt2.wav,VF19D,VF21B,Can,Can,utt_c1,utt_c2,c1_c2,diff,can
T014,VF19D_Can_utt1.wav,VF21C_Can_utt2.wav,VF19D,VF21C,Can,Can,utt_c1,utt_c2,c1_c2,diff,can
T015,VF19D_Can_utt1.wav,VF21D_Can_utt2.wav,VF19D,VF21D,Can,Can,utt_c1,utt_c2,c1_c2,diff,can
T016,VF19D_Can_utt1.wav,VF23B_Can_utt2.wav,VF19D,VF23B,Can,Can,utt_c1,utt_c2,c1_c2,diff,can
T017,VF19D_Can_utt1.wav,VF23C_Can_utt2.wav,VF19D,VF23C,Can,Can,utt_c1,utt_c2,c1_c2,diff,can
T018,VF19D_Can_utt1.wav,VF26A_Can_utt2.wav,VF19D,VF26A,Can,Can,utt_c1,utt_c2,c1_c2,diff,can
T019,VF19D_Can_utt1.wav,VF32A_Can_utt2.wav,VF19D,VF32A,Can,Can,utt_c1,utt_c2,c1_c2,diff,can
T020,VF21A_Can_utt1.wav,VF21A_Can_utt2.wav,VF21A,VF21A,Can,Can,utt_c1,utt_c2,c1_c2,same,can
T021,VF21A_Can_utt1.wav,VF21B_Can_utt2.wav,VF21A,VF21B,Can,Can,utt_c1,utt_c2,c1_c2,diff,can
T022,VF21A_Can_utt1.wav,VF21C_Can_utt2.wav,VF21A,VF21C,Can,Can,utt_c1,utt_c2,c1_c2,diff,can
T023,VF21A_Can_utt1.wav,VF21D_Can_utt2.wav,VF21A,VF21D,Can,Can,utt_c1,utt_c2,c1_c2,diff,can
T024,VF21A_Can_utt1.wav,VF23B_Can_utt2.wav,VF21A,VF23B,Can,Can,utt_c1,utt_c2,c1_c2,diff,can
T025,VF21A_Can_utt1.wav,VF23C_Can_utt2.wav,VF21A,VF23C,Can,Can,utt_c1,utt_c2,c1_c2,diff,can
