label,speaker,language,dim1,dim2
VF19B_Can,VF19B,Can,-0.5830065397942217,-0.4135353671187654
VF19B_Eng,VF19B,Eng,-0.059851651672893025,-0.19126427128523055
VF19D_Can,VF19D,Can,0.4513460705818606,0.3656742618471388
VF19D_Eng,VF19D,Eng,0.4547120439882414,0.46384279411184753
VF21A_Can,VF21A,Can,0.19649596547402715,0.14284143209785138
VF21A_Eng,VF21A,Eng,-0.2612490468086717,0.21776528333292805
VF21B_Can,VF21B,Can,-0.33848408537137853,-0.4862682374207866
VF21B_Eng,VF21B,Eng,-0.27903859998367614,-0.5253960463551827
VF21C_Can,VF21C,Can,0.0277235535907107,-0.6312278979201811
VF21C_Eng,VF21C,Eng,0.05008385105473666,-0.6500467496036131
VF21D_Can,VF21D,Can,-0.6006419767149606,-0.14587965527910615
VF21D_Eng,VF21D,Eng,-0.6370209635943915,-0.07312700922447463
VF23B_Can,VF23B,Can,-0.01719635174138944,0.7408563379758434
VF23B_Eng,VF23B,Eng,-0.16249633588609963,0.7492745903833046
VF23C_Can,VF23C,Can,-0.4546194414209864,0.4709363737326084
VF23C_Eng,VF23C,Eng,-0.48691471942708686,0.5908765422250679
VF26A_Can,VF26A,Can,0.6259978630917084,-0.3540291536270048
VF26A_Eng,VF26A,Eng,0.6468501421748252,-0.41437928038623173
VF32A_Can,VF32A,Can,0.7331521788839092,0.036842720980663796
VF32A_Eng,VF32A,Eng,0.6941580435756913,0.10624333153328691
