label,speaker,language,dim1,dim2,dim3
VF19B_Can,VF19B,Can,-0.3502409050225238,-0.5110876491967002,-0.2467665994193429
VF19B_Eng,VF19B,Eng,-0.20102055751913803,-0.5298817255652334,-0.24229058741341128
VF19D_Can,VF19D,Can,0.594268622067763,0.02372514894136564,-0.1864512363107912
VF19D_Eng,VF19D,Eng,0.6336978613260528,0.11902593308830356,-0.1735719945964019
VF21A_Can,VF21A,Can,0.14896240942607147,-0.05097924530779757,-0.45920403272389904
VF21A_Eng,VF21A,Eng,-0.10096123535339385,0.13238871041708855,-0.46860325845634604
VF21B_Can,VF21B,Can,-0.6659755414776901,-0.01412045851987798,-0.05836262428441499
VF21B_Eng,VF21B,Eng,-0.6701297705738952,-0.007302440946691021,-0.0610514827800976
VF21C_Can,VF21C,Can,-0.34765578044085305,-0.4697350343720911,0.2384844671818282
VF21C_Eng,VF21C,Eng,-0.3477295701664812,-0.49413861332751857,0.24297066414957824
VF21D_Can,VF21D,Can,-0.4236598749969816,0.18199686571883852,0.33141621239350316
VF21D_Eng,VF21D,Eng,-0.4289287724972793,0.2506375961885609,0.32029321781210474
VF23B_Can,VF23B,Can,0.3103120060742841,0.6317943027050881,0.1783579326286868
VF23B_Eng,VF23B,Eng,0.2227762658848784,0.6964358757120006,0.09886239941207062
VF23C_Can,VF23C,Can,-0.146278768150811,0.6075283133594853,-0.1940012368885144
VF23C_Eng,VF23C,Eng,-0.09283700815375306,0.6900669842924583,-0.19561086892545346
VF26A_Can,VF26A,Can,0.39467809518791663,-0.12051025388803294,0.4167280267940114
VF26A_Eng,VF26A,Eng,0.39412893514422664,-0.15916173128488156,0.4380187723519467
VF32A_Can,VF32A,Can,0.5523102718954102,-0.4888247593715636,0.037549397109785894
VF32A_Eng,VF32A,Eng,0.5242833173463441,-0.48785781864281375,-0.016767168033602023
