label,speaker,language,dim1,dim2,dim3,dim4,dim5,dim6
VF19B_Can,VF19B,Can,-0.47277748077353454,-0.15010881909929982,0.14709897749204875,-0.08195041462662628,-0.014169449244454315,-0.3494707205812114
VF19B_Eng,VF19B,Eng,-0.39598094881118456,-0.2074350836898927,0.13830893092538993,-0.08334757421859498,0.003533292793933303,-0.3581522441184058
VF19D_Can,VF19D,Can,0.32979421280024257,-0.5646284331691485,-0.17814654588242304,-0.03158555519961379,0.09432241345375598,0.23635586863888144
VF19D_Eng,VF19D,Eng,0.3513768412477941,-0.4976718354725508,-0.18626737950722738,-0.017293235854834686,0.0986665277432972,0.2860742717495426
VF21A_Can,VF21A,Can,0.16703788646410958,0.002933149489908568,-0.30906875397905803,0.05774811218881468,0.3584842788517967,-0.19762720188749183
VF21A_Eng,VF21A,Eng,0.07977248905490938,0.15944196935068922,-0.3468300925741168,0.047850194121158554,0.3449761591895789,-0.19399543371230024
VF21B_Can,VF21B,Can,-0.4994303161881473,-0.1147069953448547,-0.18692021482006219,-0.0643313595824194,-0.32472949328149947,0.13120811345736516
VF21B_Eng,VF21B,Eng,-0.4816498257132068,-0.058890662969688104,-0.21840785225482492,-0.03307948195122904,-0.33114976089626913,0.1339334953953326
VF21C_Can,VF21C,Can,-0.23857112649972576,-0.02813254850497667,-0.003302819706284506,0.453740956523915,-0.08138954513323637,0.035577408079332073
VF21C_Eng,VF21C,Eng,-0.22771412349311185,-0.020937694065279216,-0.022167887864238914,0.4718974048937107,-0.04858458122457257,0.0245203409190241
VF21D_Can,VF21D,Can,-0.49609239416152,0.02014741258015556,0.14132268139292836,-0.03841534750053599,0.30289702100167476,0.214879992122277
VF21D_Eng,VF21D,Eng,-0.48618286262986393,0.10368350504603474,0.12773038820709054,-0.03972431307996651,0.31670222239976353,0.21037841570593535
VF23B_Can,VF23B,Can,0.15218791828795208,0.17207410503042883,-0.0030845276850182536,-0.4846509948026406,-0.017218206490381163,0.01872000749465587
VF23B_Eng,VF23B,Eng,0.17694010356017617,0.3113909781114555,-0.01445753106393987,-0.45954463591318145,-0.023985557379752002,0.026238574572607656
VF23C_Can,VF23C,Can,0.18835251089376648,0.8408427219154376,-0.014063439998783348,0.05233604731941524,-0.07473523688794002,0.04057155873014621
VF23C_Eng,VF23C,Eng,0.21514612526817423,0.8527209832423739,-0.048790858501387833,0.03592304450994463,-0.08161556231812515,0.06151451813445694
VF26A_Can,VF26A,Can,0.30865273423823375,-0.114110343741045,0.532620892731675,0.050260376003840444,0.039823803316052966,0.032595306373980185
VF26A_Eng,VF26A,Eng,0.3029500425566343,-0.1144070840663986,0.5439410815105244,0.0653821942921508,0.03711798505954608,0.028561034644797992
VF32A_Can,VF32A,Can,0.5274095187536327,-0.3006095188569666,-0.03311105546460395,0.05212008269359036,-0.2970005703694933,-0.19393699915959767
VF32A_Eng,VF32A,Eng,0.4987786951448081,-0.29159580578633576,-0.06640399295756266,0.046664500183019944,-0.30194574058342716,-0.1879463065591307
