label,speaker,language,dim1,dim2,dim3,dim4,dim5,dim6,dim7
VF19B_Can,VF19B,Can,-0.3998142957207079,-0.2153849636373811,0.1093689318971422,-0.024188614327085245,-0.10662635570346612,-0.38621419771367715,-0.07837277129894613
VF19B_Eng,VF19B,Eng,-0.33566393533577454,-0.2081495371756163,0.09277802224214196,-0.018416874855274188,-0.11230522043257794,-0.39474792227343397,-0.08983686436164924
VF19D_Can,VF19D,Can,0.2332182159783842,0.07322762063346158,-0.4490578616168155,-0.0725641321970238,-0.14897804245955962,0.14250335610761067,-0.1556853620051476
VF19D_Eng,VF19D,Eng,0.21713312466035292,0.11773736558209724,-0.45756360400969387,-0.06767912694004481,-0.135827912155909,0.17573976631759672,-0.15080136994932827
VF21A_Can,VF21A,Can,0.20300197083043955,-0.22334450711977044,-0.25050726800477485,-0.06014220278923538,0.42668276039252934,-0.14570119419783895,-0.0020132887626697796
VF21A_Eng,VF21A,Eng,0.12644640436608293,-0.13610408044510935,-0.21345801481936788,-0.06071964526293312,0.4673794410473493,-0.14868852004398692,0.016342441150620737
VF21B_Can,VF21B,Can,-0.40071278932417304,-0.25841979401457893,-0.16427242476226195,-0.21304291675524106,-0.08735498108701169,0.055648557853672204,0.2643028193899937
VF21B_Eng,VF21B,Eng,-0.3917312161458333,-0.2177453498204836,-0.1676632945680062,-0.16701886825268272,-0.09812112675321441,0.06823165419438543,0.28529126128223103
VF21C_Can,VF21C,Can,-0.3280667079594823,-0.1498993752857903,-0.03482003642675632,0.41519207253902,-0.1554990980078158,0.13515537706988315,0.09155952244254978
VF21C_Eng,VF21C,Eng,-0.31976708247507246,-0.1591147675474459,-0.05845517433601138,0.44137428423327196,-0.12029131757335106,0.13241798289065163,0.08348510191125892
VF21D_Can,VF21D,Can,-0.4091137083160248,-0.058083997349342484,0.14221111983496265,-5.783139640393644e-4,0.1489481352851449,0.1828483903896234,-0.29005132229128266
VF21D_Eng,VF21D,Eng,-0.4107372099266163,-0.01572513529336859,0.1497508808593597,0.0015910819323047276,0.16784677462327302,0.1798683371257202,-0.28648809066419967
VF23B_Can,VF23B,Can,0.07310567606814149,0.47338588744904386,0.18554391604685178,-0.39299887923164434,-0.1896866363363943,-0.0010559098803297265,-0.021640731645209597
VF23B_Eng,VF23B,Eng,0.06563981005583809,0.5727632863070785,0.1898165612338674,-0.3517865184124133,-0.14628301931462864,-0.005139646561232926,-0.0020557983936263786
VF23C_Can,VF23C,Can,0.009637276067227037,0.6781608755147251,0.09765583496383692,0.1617933571641122,0.21967996388366567,-0.02784107140250724,0.14155144637782147
VF23C_Eng,VF23C,Eng,0.0033496969723519204,0.7428626850681115,0.07524528265461905,0.14647646878693896,0.18693762112396525,-0.029155682572287005,0.13552056805082635
VF26A_Can,VF26A,Can,0.388910730172102,-0.4470366311765869,0.344797205752639,-0.07219192026946877,0.07087044700813837,0.19351284341978625,0.07425639176327266
VF26A_Eng,VF26A,Eng,0.3782572931275031,-0.45578638631329543,0.3575357058361116,-0.06083109108579193,0.07115853438854747,0.1945072361372715,0.07934094100978119
VF32A_Can,VF32A,Can,0.6705085553039031,-0.0788574463822536,0.03444514970462023,0.19503985103851304,-0.2183539777585003,-0.15675981589155177,-0.03825435237876301
VF32A_Eng,VF32A,Eng,0.6263981916014545,-0.03448574899342421,0.0166490675174769,0.20069198864858104,-0.24017599017008462,-0.16512954096932228,-0.05645054162743592
