label,speaker,language,dim1,dim2
VF19B_Can,VF19B,Can,-0.6078316732216321,-0.4034007411256842
VF19B_Eng,VF19B,Eng,-0.3064712357994273,0.042218421954348426
VF19D_Can,VF19D,Can,0.390931721251723,0.44155866771018254
VF19D_Eng,VF19D,Eng,0.4728183703127399,0.4405429082166775
VF21A_Can,VF21A,Can,0.16434781845931745,0.22556977312399543
VF21A_Eng,VF21A,Eng,0.20332031176195797,-0.2337998427111537
VF21B_Can,VF21B,Can,-0.33835494606736544,-0.4346074544568142
VF21B_Eng,VF21B,Eng,-0.3567570192438551,-0.38091030428719813
VF21C_Can,VF21C,Can,-0.6676326573028557,-0.064169774858055
VF21C_Eng,VF21C,Eng,-0.685621457237673,0.010025096033170568
VF21D_Can,VF21D,Can,-0.1457737900584847,-0.6070527365955448
VF21D_Eng,VF21D,Eng,-0.03319322409005691,-0.6363001124857735
VF23B_Can,VF23B,Can,0.7704399036579731,0.012824861294939448
VF23B_Eng,VF23B,Eng,0.7615546061678375,-0.12420077574683187
VF23C_Can,VF23C,Can,0.520938617209883,-0.4074190639215264
VF23C_Eng,VF23C,Eng,0.6316748219026531,-0.43846638644348584
VF26A_Can,VF26A,Can,-0.38217001803909073,0.5795640489896207
VF26A_Eng,VF26A,Eng,-0.4667306189366957,0.5740590232464187
VF32A_Can,VF32A,Can,0.02752779073634146,0.7192201396132677
VF32A_Eng,VF32A,Eng,0.046982678536655297,0.6847442524489803
