label,speaker,language,dim1,dim2,dim3
VF19B_Can,VF19B,Can,-0.6498106756312756,0.17601688006941868,-0.1676454159564519
VF19B_Eng,VF19B,Eng,-0.5614945804711794,0.22736194905398027,-0.2408287601757283
VF19D_Can,VF19D,Can,0.37640519429207747,0.3878889696047909,-0.2569503655474656
VF19D_Eng,VF19D,Eng,0.46560308667316685,0.34780755066433133,-0.2526442097287868
VF21A_Can,VF21A,Can,0.021899093740426624,0.052404728390129184,-0.49361048730105545
VF21A_Eng,VF21A,Eng,0.022710227464716286,-0.24763011920705724,-0.46080294228042656
VF21B_Can,VF21B,Can,-0.5547424076260143,-0.047903212101118926,0.23952145187917764
VF21B_Eng,VF21B,Eng,-0.5668498650616964,-0.08325553416297471,0.2275670316219411
VF21C_Can,VF21C,Can,-0.46786690259284336,-0.4751556527077054,-0.05904784348016238
VF21C_Eng,VF21C,Eng,-0.43841013074867874,-0.5334868135234209,-0.10981059953704914
VF21D_Can,VF21D,Can,-0.1253331377948093,-0.3653032393292726,0.37472085076558764
VF21D_Eng,VF21D,Eng,-0.04834077145055096,-0.43783838032062894,0.36551665461856503
VF23B_Can,VF23B,Can,0.7244570861775883,-0.05129844093030367,0.16720070844000523
VF23B_Eng,VF23B,Eng,0.7066395600750272,-0.18767021627254685,0.10938963060169761
VF23C_Can,VF23C,Can,0.4219729545996527,-0.5135911507983132,-0.10854577516099245
VF23C_Eng,VF23C,Eng,0.5033639506642064,-0.5247078617116772,-0.12523154707838058
VF26A_Can,VF26A,Can,0.10955880723487028,0.42109200697738636,0.40487849355016453
VF26A_Eng,VF26A,Eng,0.06787332286247155,0.43067494603640327,0.42109443893100323
VF32A_Can,VF32A,Can,0.01832529420150986,0.7262258872411614,0.002904475198072038
VF32A_Eng,VF32A,Eng,-0.025960106608640104,0.6983677030275943,-0.037675789359889224
