label,speaker,language,dim1,dim2,dim3,dim4
VF19B_Can,VF19B,Can,-0.6290881180226668,0.2805336496713179,-0.024950821458298654,0.20923468155250705
VF19B_Eng,VF19B,Eng,-0.5992318256928225,0.34411610670726245,-0.08819228885523084,0.13934180464200568
VF19D_Can,VF19D,Can,0.29243294042502516,0.44370244827156746,-0.2009870465846976,0.2619855476304376
VF19D_Eng,VF19D,Eng,0.319746871209371,0.421581600031378,-0.2108431316514916,0.28711387101585056
VF21A_Can,VF21A,Can,-0.020179890788703855,-0.025349287715360026,-0.5114518062559709,-0.0890712453350777
VF21A_Eng,VF21A,Eng,-0.0244338724694347,-0.25437540391425456,-0.47684095068462895,-0.09667244038482349
VF21B_Can,VF21B,Can,-0.2692484038763983,-0.30301005060314495,0.34389757795957704,0.21722473960290334
VF21B_Eng,VF21B,Eng,-0.2629700334573129,-0.35117036135291113,0.3838560519627605,0.1084118924611827
VF21C_Can,VF21C,Can,-0.5426084363135312,-0.23287733303972774,0.09044030959237792,-0.2855005393389187
VF21C_Eng,VF21C,Eng,-0.5396706917374903,-0.24778623244526743,0.06648477229366245,-0.32228163452304154
VF21D_Can,VF21D,Can,-0.20006761411434548,-0.39496733628411707,-0.09073629378360104,0.3801166005157756
VF21D_Eng,VF21D,Eng,-0.16381475880159227,-0.48256567526155797,-0.146029865494052,0.32694563821823225
VF23B_Can,VF23B,Can,0.7049958845456514,-0.16630844673313402,0.11556119490887423,0.19941527994473382
VF23B_Eng,VF23B,Eng,0.7132541502901144,-0.2436254379373034,0.08681681632427427,0.0887238190005112
VF23C_Can,VF23C,Can,0.4033330143105289,-0.38410850239553634,0.02351527525642043,-0.32476672566746095
VF23C_Eng,VF23C,Eng,0.45395169456921103,-0.41380420241182486,0.02240871159515348,-0.31996644035248784
VF26A_Can,VF26A,Can,0.11102426889790828,0.4691970839636729,0.404799346933246,-0.03782295135250425
VF26A_Eng,VF26A,Eng,0.07152958464248801,0.46414523630826565,0.4203777962253642,-0.05028419126490018
VF32A_Can,VF32A,Can,0.11378083416431328,0.5511326796515494,-0.09401141109125158,-0.35070965833902573
VF32A_Eng,VF32A,Eng,0.06726440221979012,0.5255394654892726,-0.11411423719246785,-0.34143804802557864
