label,speaker,language,dim1,dim2,dim3,dim4,dim5,dim6,dim7
VF19B_Can,VF19B,Can,-0.38547527061225184,-0.1842762063408049,-0.060182795545776054,0.146413928300743,-0.11472044221961308,-0.3829966769752461,-0.041567829942014405
VF19B_Eng,VF19B,Eng,-0.3254116654904568,-0.15371925976297962,-0.09483761812876149,0.13241365902449115,-0.10819723068909,-0.39625391006167876,-0.050015814945234376
VF19D_Can,VF19D,Can,0.30944817159862453,0.20705652184635043,-0.35521012923976863,0.04171670976194197,-0.1648151691169646,0.21904662043339848,-0.1466792824142313
VF19D_Eng,VF19D,Eng,0.33020246373740564,0.18153808818964767,-0.35044603199599983,0.025881673298434427,-0.14974658073147182,0.2524533230900887,-0.14458763035078503
VF21A_Can,VF21A,Can,-0.0537736826928957,0.2183561939611602,-0.3535597739328957,0.04640440460295235,0.398928977595338,-0.04225918292020791,0.08683055240249597
VF21A_Eng,VF21A,Eng,-0.047021880887632664,0.09617703059185088,-0.31747085003051145,0.04703231742386168,0.4323843934578768,-0.047403865462623325,0.0938966802417914
VF21B_Can,VF21B,Can,-0.32367829613326693,-0.17794805964564905,-0.0912438905943588,0.27281406881295034,-0.16166412661689028,0.1595580615712844,0.24585053609348023
VF21B_Eng,VF21B,Eng,-0.29786302258019104,-0.2153015962181506,-0.08245852449402012,0.22575216280601718,-0.17254281191531134,0.17143756779636027,0.26242745960156627
VF21C_Can,VF21C,Can,-0.39018114861774167,-0.19382471153083164,0.006384442381273631,-0.40513215298777133,-0.24040972718920744,0.09245901167542221,0.015193169654152044
VF21C_Eng,VF21C,Eng,-0.3910084879479043,-0.19775903704009157,-0.008136471318640644,-0.43082635075040854,-0.2157911306443947,0.09307581208985878,0.02542376800415117
VF21D_Can,VF21D,Can,-0.306948219902291,-0.27598922332436143,0.09106229773035504,0.041836552172914335,0.17457105959415783,0.10859373491545504,-0.31462415078938566
VF21D_Eng,VF21D,Eng,-0.261608109841376,-0.31982733932246027,0.08422238008002042,0.026939661056103265,0.20258070059539046,0.1049119234668798,-0.3108072842678992
VF23B_Can,VF23B,Can,0.5467220689717945,-0.11512207506071817,0.23458992318137104,0.36581690410999634,-0.11032509601384038,-0.051080170175295724,-0.058380160070201303
VF23B_Eng,VF23B,Eng,0.5922688874459369,-0.20236193286109935,0.24161203925116825,0.29559574172756636,-0.10550201072015022,-0.05142154448630693,-0.03767917091972477
VF23C_Can,VF23C,Can,0.4584461524617841,-0.4203763751807987,0.12483972672749305,-0.23150073509825128,0.19435094205623551,-0.03328492116377493,0.1474879055458742
VF23C_Eng,VF23C,Eng,0.5109115340320636,-0.4488569722851176,0.10613006414970606,-0.22810446974619644,0.1586458230308031,-0.026734540870864486,0.14078084768489804
VF26A_Can,VF26A,Can,-0.21854272071619651,0.500916328312475,0.40712600959932005,0.050903643969865346,0.13128498661414284,0.12484336353759254,0.04943877890847558
VF26A_Eng,VF26A,Eng,-0.24817003114519445,0.49168008383959605,0.41532691241163344,0.042474255314248324,0.12054468995585749,0.11919484797426094,0.05698427311545506
VF32A_Can,VF32A,Can,0.2520180005746586,0.6241041468591307,0.004344428490229575,-0.23187206626422815,-0.13021632684505222,-0.20309394504867745,0.00638866142698359
VF32A_Eng,VF32A,Eng,0.24966525774513357,0.5855343949728713,-0.0020921387219245326,-0.23455990753528114,-0.1393609201978089,-0.2110455093858507,-0.026361308979813595
