label,speaker,language,dim1,dim2
VF19B_Can,VF19B,Can,-0.6326913769728552,-0.3276363526299458
VF19B_Eng,VF19B,Eng,-0.1189180058128729,-0.18594663400628064
VF19D_Can,VF19D,Can,0.49623021901625025,0.2734496648794199
VF19D_Eng,VF19D,Eng,0.5270300621956692,0.39551254501676647
VF21A_Can,VF21A,Can,0.1823848171900846,0.08641044149739194
VF21A_Eng,VF21A,Eng,-0.20393635718688063,0.26404723321442775
VF21B_Can,VF21B,Can,-0.4050448473439105,-0.47475224635031454
VF21B_Eng,VF21B,Eng,-0.34153142800337943,-0.48948027735916816
VF21C_Can,VF21C,Can,-0.031448439663329233,-0.6027129650092061
VF21C_Eng,VF21C,Eng,-0.029994685852199374,-0.6282240249776093
VF21D_Can,VF21D,Can,-0.6371361516918043,-0.045593970386583034
VF21D_Eng,VF21D,Eng,-0.6511331493051732,-0.0047671465604232615
VF23B_Can,VF23B,Can,0.07629266493494666,0.7232134754068152
VF23B_Eng,VF23B,Eng,-0.08450418389820909,0.7670888569879946
VF23C_Can,VF23C,Can,-0.4051951708432975,0.4967789185225333
VF23C_Eng,VF23C,Eng,-0.41668232657672577,0.6320487070217898
VF26A_Can,VF26A,Can,0.6028843054063172,-0.42565099266042666
VF26A_Eng,VF26A,Eng,0.6371604047166538,-0.4707145330498773
VF32A_Can,VF32A,Can,0.7333592639860301,-0.05117843252094777
VF32A_Eng,VF32A,Eng,0.7028743857048361,0.06810773296354945
