label,speaker,language,dim1,dim2,dim3
VF19B_Can,VF19B,Can,-0.5607391257111956,-0.4181626865954764,0.11494251406769194
VF19B_Eng,VF19B,Eng,-0.412970451630612,-0.474404017561854,0.05936197758374004
VF19D_Can,VF19D,Can,0.6163952582212319,-0.0365737965604013,-0.14737408929263446
VF19D_Eng,VF19D,Eng,0.6950708392877789,0.04316620016506213,-0.1128265279464325
VF21A_Can,VF21A,Can,0.22147034871020355,0.24356419001625734,-0.3867879423006245
VF21A_Eng,VF21A,Eng,0.0965148879169696,0.4942591543941824,-0.33829711239981336
VF21B_Can,VF21B,Can,-0.6345940942748944,0.23350745004785325,-0.09140531975547812
VF21B_Eng,VF21B,Eng,-0.5853395442909598,0.2681238613018927,-0.1630633660070299
VF21C_Can,VF21C,Can,-0.4023451752778651,-0.20223764913819464,-0.3428879710482341
VF21C_Eng,VF21C,Eng,-0.3985330496899553,-0.17899981537053408,-0.39256464436490035
VF21D_Can,VF21D,Can,-0.47478213926962276,0.10685044584111625,0.3169548200572264
VF21D_Eng,VF21D,Eng,-0.46685142159946036,0.13807922340743456,0.32666313002681635
VF23B_Can,VF23B,Can,0.3621088294368407,0.2351180534831599,0.4253783491680926
VF23B_Eng,VF23B,Eng,0.3447251516576723,0.37256852992612405,0.38790363586739673
VF23C_Can,VF23C,Can,0.08383503957251756,0.6565277351275984,0.07443166415308305
VF23C_Eng,VF23C,Eng,0.16091712703150954,0.710247008862658,0.11248970246364305
VF26A_Can,VF26A,Can,0.2855539714675004,-0.5427940409726463,0.27449398183250423
VF26A_Eng,VF26A,Eng,0.2848882393362298,-0.5886622668784919,0.28425954931812475
VF32A_Can,VF32A,Can,0.38314002617441956,-0.5676473061284693,-0.17588426520190817
VF32A_Eng,VF32A,Eng,0.4015352829319415,-0.49253027336745137,-0.22578808622093285
