label,speaker,language,dim1,dim2,dim3,dim4
VF19B_Can,VF19B,Can,-0.39428113566502343,-0.13424462670818962,0.25834336313948086,-0.33836602491017
VF19B_Eng,VF19B,Eng,-0.2841414685485013,-0.1444139617155514,0.22699803032288302,-0.35350672520372567
VF19D_Can,VF19D,Can,0.3902462463455385,0.23182887253032647,-0.37244451840523246,-0.01913906013912892
VF19D_Eng,VF19D,Eng,0.3828783934904742,0.2850222550364853,-0.39707463084070993,0.006923663619588908
VF21A_Can,VF21A,Can,0.15716854161015412,0.03154087159520784,-0.16958246551799303,0.4296307140754138
VF21A_Eng,VF21A,Eng,0.07639242534233037,0.13248297666161635,-0.06149082753239528,0.4822582884617707
VF21B_Can,VF21B,Can,-0.6643869297982,0.21695694082984618,-0.17290554672301597,-0.015907384212066743
VF21B_Eng,VF21B,Eng,-0.6326416367640544,0.21279135969631768,-0.20984860380080794,-0.0058818065200814465
VF21C_Can,VF21C,Can,-0.33895191493702737,-0.4361957862632082,-0.2956430367288627,-0.09385552055034688
VF21C_Eng,VF21C,Eng,-0.3295345551168895,-0.46096681453034505,-0.32863291287293206,-0.045990724902039266
VF21D_Can,VF21D,Can,-0.46815488014876683,-0.3054353349983102,0.21376999678253206,0.23726591244998602
VF21D_Eng,VF21D,Eng,-0.46510719838223985,-0.27360588719554546,0.23428032492754933,0.24803265849422673
VF23B_Can,VF23B,Can,-0.04676066820010179,0.7627632646061212,0.09099646162105655,-0.10306800354191634
VF23B_Eng,VF23B,Eng,0.03636189815885579,0.7374630540728772,0.19435593046427405,-0.02840469742314795
VF23C_Can,VF23C,Can,0.2937926144637878,0.17484265340137725,0.41581280236310053,0.12581394529838855
VF23C_Eng,VF23C,Eng,0.29913417545938814,0.29695180160588175,0.42104584910605225,0.1323018708837257
VF26A_Can,VF26A,Can,0.495418397953395,-0.589876258359464,0.0578467756240649,0.049099201940896474
VF26A_Eng,VF26A,Eng,0.5017267013481076,-0.6521113358897671,0.06996035645255239,0.04408666459309739
VF32A_Can,VF32A,Can,0.5309413850404365,-0.09555524580143908,-0.07786149731784603,-0.3579699645301509
VF32A_Eng,VF32A,Eng,0.45989960834844723,0.009761201425763907,-0.09792585106386899,-0.3933230078840024
