label,speaker,language,dim1,dim2,dim3,dim4,dim5
VF19B_Can,VF19B,Can,-0.13021863270070777,-0.5295824316541429,0.10586160584984189,0.008401506835684955,0.3462326105080892
VF19B_Eng,VF19B,Eng,-0.052368728403074875,-0.4963548267231218,0.09781183349174971,-0.001696522738373299,0.3407018099497139
VF19D_Can,VF19D,Can,0.11784788416728156,0.4607181751739366,-0.09177970479121342,-0.06334840304653752,-0.34969739460843025
VF19D_Eng,VF19D,Eng,0.10981828806103916,0.4943670320504494,-0.09773456654542681,-0.044091176286162694,-0.36216580214669497
VF21A_Can,VF21A,Can,-0.06867390720661913,0.11263809557304068,-0.04612394088624132,0.48280668599313986,-0.07101493732135263
VF21A_Eng,VF21A,Eng,-0.15177080010941085,0.11511913670498668,-0.01357945872500652,0.49990443180337224,-0.013938907982208886
VF21B_Can,VF21B,Can,-0.786447115663096,0.02149896275139292,-0.008175856446145897,-0.13414117251642474,-0.0036096895781856024
VF21B_Eng,VF21B,Eng,-0.7834103799098694,0.053877604673667125,-0.036602161521358346,-0.13430521243909244,0.0013002179375814886
VF21C_Can,VF21C,Can,-0.13965364783163076,-0.19399192322146575,-0.4903922676261167,-0.03300019964183605,0.04846832176602589
VF21C_Eng,VF21C,Eng,-0.14610410123358775,-0.19749650054793902,-0.504863538793224,-0.007197394422213066,0.02223576620919991
VF21D_Can,VF21D,Can,-0.15822243027341693,-0.5578099352231791,0.11242887927351555,0.040158734502627844,-0.30297115571512345
VF21D_Eng,VF21D,Eng,-0.1566367371369936,-0.555550374885378,0.13448432688485912,0.04957368915494591,-0.2909682622137235
VF23B_Can,VF23B,Can,3.781434882569514e-4,0.23877779436618543,0.5165839782463643,-0.0013797611806656077,-0.004686691744553384
VF23B_Eng,VF23B,Eng,0.018864495444881828,0.28825198010942626,0.5149827064847372,0.007754596794005482,0.02434487401042337
VF23C_Can,VF23C,Can,0.047319703770291564,0.544229246463232,-0.04860263222923318,0.01950411124029907,0.3352274877745867
VF23C_Eng,VF23C,Eng,0.020525872624283313,0.6032921057953681,-0.027676602013899054,0.020611894101892323,0.32976104623470964
VF26A_Can,VF26A,Can,0.7931815637896444,-0.18988393863072414,-0.04896273677588699,0.11880289831024521,4.616548271974513e-4
VF26A_Eng,VF26A,Eng,0.8228365940161976,-0.19675576164705902,-0.061776506393832795,0.11536405254045617,0.004938652331495972
VF32A_Can,VF32A,Can,0.3482402075391614,-0.03583591487164885,-8.820356526753136e-4,-0.4661728634890893,-0.028743797261831627
VF32A_Eng,VF32A,Eng,0.2944937275675496,0.020491473743060405,-0.005001321830884347,-0.4775498955164626,-0.025875802976914403
