label,speaker,language,dim1,dim2,dim3,dim4,dim5,dim6,dim7
VF19B_Can,VF19B,Can,-0.4059401143417791,-0.059425120876315865,0.20091047984007565,-0.13302420309823706,0.09426193049902812,-0.349452330838015,-0.1467957960971449
VF19B_Eng,VF19B,Eng,-0.3207236605903336,-0.05562160453420956,0.19878448769585305,-0.14208977475328402,0.11099721657240041,-0.34835735495673337,-0.15448851285283213
VF19D_Can,VF19D,Can,0.3405587679838022,0.04613932973174106,-0.45340634948016983,-0.04235969845549678,0.10299615189761005,0.05548224455972368,-0.181791897872706
VF19D_Eng,VF19D,Eng,0.32916394688857387,0.09706648390722375,-0.47062981835610734,-0.013288494877466198,0.11234377627915045,0.0740230530207044,-0.1778555300405456
VF21A_Can,VF21A,Can,0.19596059553183193,-0.40102242319778103,-0.18919070687765566,0.23252558925461592,-0.16089383942352808,-0.2531597470512247,0.11498155727415818
VF21A_Eng,VF21A,Eng,0.13019210922947427,-0.3119795260749775,-0.1698523338860011,0.2776535057092483,-0.17016078248889838,-0.2741404066335226,0.1283810205345114
VF21B_Can,VF21B,Can,-0.5353881219371379,-0.09367135577705733,-0.0879106540590244,-0.1195123662171406,-0.21605583489462432,0.11878654527822854,0.2393404847438534
VF21B_Eng,VF21B,Eng,-0.5231143644583599,-0.06362635021384665,-0.10943102164525607,-0.10832951768474601,-0.17570737543341028,0.1414490426000068,0.2545394094592536
VF21C_Can,VF21C,Can,-0.3094769441147011,-0.0783662771287534,-5.431949205550758e-4,-0.07305428780092359,0.39732718488758484,0.18291369417892203,0.13775688159815486
VF21C_Eng,VF21C,Eng,-0.2923833024420238,-0.13950862806489028,-0.029837667017640658,-0.03152802601268333,0.4238222838847651,0.16106249369989847,0.1301481038563303
VF21D_Can,VF21D,Can,-0.3849362733106131,-0.3039959006142512,0.02557150499296204,0.24666639758065045,-0.049934835031865,0.1763116569897128,-0.2484120603349815
VF21D_Eng,VF21D,Eng,-0.3859335637357295,-0.27330518845916507,0.043986966180736393,0.26640390410589954,-0.05908606045914551,0.1759524094595983,-0.2409518523646964
VF23B_Can,VF23B,Can,0.022627204981933546,0.5447854721121899,0.10948252271309937,-0.10143664179234639,-0.3368311963584057,0.10191789251196491,-0.14570335474108098
VF23B_Eng,VF23B,Eng,0.050463607914368845,0.6144262099033937,0.10541102219283469,-0.04831159311261518,-0.32787448215090415,0.061443317650204624,-0.12654971992462838
VF23C_Can,VF23C,Can,0.08393061134870425,0.6426478171446873,0.021160934451858945,0.21664119334547802,0.12387929961265601,-0.13849788274647817,0.14785828628471273
VF23C_Eng,VF23C,Eng,0.06970016889229282,0.7047006616350249,0.0023746376026920245,0.2167651688301519,0.10986147189582093,-0.1299869942075863,0.12907278975089645
VF26A_Can,VF26A,Can,0.5168518566476505,-0.21419364725506285,0.40864477451635023,0.1161470310002998,0.024848274254211943,0.15019619621457914,0.0504056467697763
VF26A_Eng,VF26A,Eng,0.540437377637056,-0.20752085856312416,0.4172820672952297,0.12917641606205194,0.05754043584028615,0.14071799964040468,0.03175532776419591
VF32A_Can,VF32A,Can,0.4511696733829248,-0.27369260291088,0.010521970207238654,-0.4333008597783302,-0.0448458756546668,-0.00963147972499563,0.0287723052353189
VF32A_Eng,VF32A,Eng,0.42684042449208404,-0.17383649076392088,-0.03332962144647108,-0.45574374230504033,-0.01648774372802591,-0.03703034964562676,0.029536910957476355
