label,speaker,language,dim1,dim2
VF19B_Can,VF19B,Can,0.7595972759891607,-0.13673377422302468
VF19D_Can,VF19D,Can,-0.32910271426837995,0.29756107451011693
VF21A_Can,VF21A,Can,-0.5523491998340577,0.19655049779673056
VF21B_Can,VF21B,Can,0.3756053807976711,-0.43992328053406743
VF21C_Can,VF21C,Can,0.39811255149737884,-0.1442437125131091
VF21D_Can,VF21D,Can,0.14533389677820896,-0.495387303434324
VF23B_Can,VF23B,Can,0.03999704593891549,0.6948734469684453
VF23C_Can,VF23C,Can,0.46244254916936667,0.46723066076316755
VF26A_Can,VF26A,Can,-0.5499710417953996,-0.41115250982057
VF32A_Can,VF32A,Can,-0.749665744272809,-0.02877509951333699
