label,speaker,language,dim1,dim2,dim3,dim4,dim5,dim6
VF19B_Can,VF19B,Can,0.1255927697610184,0.08213214754647416,-0.018515059414084316,0.030679993048121544,0.005946234750091249,0.25376770036286966
VF19D_Can,VF19D,Can,-0.05957712127462626,-0.23469978004918657,-0.041999573530661506,-0.023482316131793704,0.04053491769750094,-0.2372225776845963
VF21A_Can,VF21A,Can,-0.16876724730543724,-0.691734277535739,-0.04720216956502119,-0.19301878429373584,-0.08993240266079738,0.03166136428814896
VF21B_Can,VF21B,Can,0.4468429595674431,-0.09612214359760105,0.07740448510376133,-0.0730370279930203,0.3180319808916448,0.02939988408690325
VF21C_Can,VF21C,Can,0.12109736446847288,0.09754023745945536,0.05017499399094877,0.5038534977998548,0.05368456942293689,-0.0020956134688497295
VF21D_Can,VF21D,Can,0.822631568312182,-0.009773573405679806,0.02951609635618515,-0.011923947844394824,-0.12874506452054593,-0.015332734917016937
VF23B_Can,VF23B,Can,-0.17655162597778212,0.13220821284446846,-0.5577709321031838,0.058194527171070265,-0.15079994589756152,-0.013017844478689223
VF23C_Can,VF23C,Can,-0.10691765683204696,0.6609077277488724,-0.07107022015412329,-0.3033955244025798,0.032636962943115154,-0.026022333145038913
VF26A_Can,VF26A,Can,-0.17427343465884748,0.12355229658500141,0.4799251970674448,-0.045039313670757704,-0.217045992276004,-0.016920862890147558
VF32A_Can,VF32A,Can,-0.8300775760603503,-0.064010847596076,0.09953718224873653,0.05716889631727268,0.13568873964959363,-0.004216982153579142
