label,speaker,language,dim1,dim2
VF19B_Can,VF19B,Can,0.6582519607396804,0.29982084831471595
VF19D_Can,VF19D,Can,-0.30992663233793744,-0.3276022951677143
VF21A_Can,VF21A,Can,-0.12375338716779893,-0.5736885672193666
VF21B_Can,VF21B,Can,0.6746529821572824,-0.054551300084064655
VF21C_Can,VF21C,Can,0.4871951101746492,-0.37365249296333214
VF21D_Can,VF21D,Can,0.32662887375623545,0.12206234056892058
VF23B_Can,VF23B,Can,-0.4479213852729679,0.5589926241396391
VF23C_Can,VF23C,Can,0.04944978027453835,0.5906048135624309
VF26A_Can,VF26A,Can,-0.6954824983686567,0.044114742557453165
VF32A_Can,VF32A,Can,-0.6190948039550176,-0.28610071370868556
