label,speaker,language,dim1,dim2,dim3
VF19B_Can,VF19B,Can,0.5172349764133128,0.41007094413414935,-0.14045017998148343
VF19D_Can,VF19D,Can,-0.32887817179692136,-0.3800405792440246,-0.23509243920399298
VF21A_Can,VF21A,Can,0.07946619079560806,-0.5818998402006109,0.037807705939548665
VF21B_Can,VF21B,Can,0.6827660640965623,-0.03643149344673457,0.10570230132802069
VF21C_Can,VF21C,Can,0.3249866655026942,0.19576390141179761,0.4053915387026946
VF21D_Can,VF21D,Can,0.4873842592688299,-0.11272011441210802,-0.34162458664822437
VF23B_Can,VF23B,Can,-0.3742243989055355,0.3115367562992198,-0.43610994798185515
VF23C_Can,VF23C,Can,-0.31567655518786997,0.5580058127685045,0.07660599213465807
VF26A_Can,VF26A,Can,-0.41822850635970266,-0.10777792456151869,0.4323109305101442
VF32A_Can,VF32A,Can,-0.654830523827015,-0.25650746274869723,0.09545868520046959
