label,speaker,language,dim1,dim2,dim3,dim4
VF19B_Can,VF19B,Can,0.4606776098026335,0.1250318648512595,-0.4492920596318992,0.04727053133969432
VF19D_Can,VF19D,Can,-0.47517783708863304,0.2150530044452238,-0.22842944806069213,-0.1940207834113967
VF21A_Can,VF21A,Can,-0.03376926955881143,-0.14144016191220948,-0.03392154572555561,-0.3894623823272721
VF21B_Can,VF21B,Can,0.21998562102417074,-0.4917842300302722,-0.2593902922318763,0.13151598294237488
VF21C_Can,VF21C,Can,0.27668126178739405,-0.23786334591826147,0.23257914685785647,0.28863015305604045
VF21D_Can,VF21D,Can,0.7060170438547876,-0.12126222371258442,0.10600366180041619,-0.10507433239081762
VF23B_Can,VF23B,Can,0.18811890352776167,0.6772169174543745,0.2201516186447565,-0.03194019789841243
VF23C_Can,VF23C,Can,-0.24140160549085443,0.3731530886487816,-0.09605746709801949,0.32908278762317095
VF26A_Can,VF26A,Can,-0.3517063702702837,-0.12566220716895687,0.49292906255223473,-0.0636227981981457
VF32A_Can,VF32A,Can,-0.7494253575881394,-0.27244270665736314,0.015427322892736026,-0.012378960735291673
