label,speaker,language,dim1,dim2,dim3,dim4,dim5
VF19B_Can,VF19B,Can,0.19433884849407698,-0.07974869654912457,-0.04386993597420533,0.10251324103376296,0.3863392513263367
VF19D_Can,VF19D,Can,-0.4521555830359385,-0.32220023219860716,-0.35623711947012016,-0.08902741994647746,-0.03602023678214573
VF21A_Can,VF21A,Can,0.026749205598248334,-0.15319698744867297,-0.0011871672396689611,-0.4024981089706878,0.06289375623907895
VF21B_Can,VF21B,Can,0.5183907440570863,-0.5036066510077158,0.052572055284623546,0.15194962292491945,0.007037279415154855
VF21C_Can,VF21C,Can,0.5375909097615384,0.28730265668696253,0.36282809427773527,0.03233395517284481,-0.044450125082030945
VF21D_Can,VF21D,Can,0.6034636281739758,0.16194973003303828,-0.36715738941219106,-0.011263674546727935,-0.07365169212902234
VF23B_Can,VF23B,Can,-0.3398203235366161,0.6777632165927281,-0.10979459042057937,-0.05729776539087277,0.10755841483584702
VF23C_Can,VF23C,Can,-0.2764845827572035,0.14836266394486183,-0.07491214802982543,0.40364157552108826,-0.04969157188537756
VF26A_Can,VF26A,Can,-0.5184475150644573,-0.15184735026105473,0.46430405199738173,-0.033048888168854214,0.014976174494094434
VF32A_Can,VF32A,Can,-0.29362533169071553,-0.06477834979242342,0.07345414898684816,-0.09730253762902535,-0.3749912504319046
