label,speaker,language,dim1,dim2
VF19B_Eng,VF19B,Eng,0.22033542776748208,-0.15520384618613448
VF19D_Eng,VF19D,Eng,-0.42174722697443434,-0.41999538957104815
VF21A_Eng,VF21A,Eng,-0.14156370758026032,0.4984078155439772
VF21B_Eng,VF21B,Eng,0.5741016510982963,0.36423551733330667
VF21C_Eng,VF21C,Eng,0.5981312212910128,0.058359870389579585
VF21D_Eng,VF21D,Eng,0.18865059079310323,0.5872126281743543
VF23B_Eng,VF23B,Eng,-0.6944718172879496,0.15528296708789857
VF23C_Eng,VF23C,Eng,-0.6173856036650209,0.24192028792456394
VF26A_Eng,VF26A,Eng,0.4432464477756084,-0.679604814473784
VF32A_Eng,VF32A,Eng,-0.14929698321780543,-0.6506150362227181
