label,speaker,language,dim1,dim2,dim3,dim4
VF19B_Eng,VF19B,Eng,0.44801161150101404,-0.07600428815989169,0.3064641409196638,-0.15638292003229906
VF19D_Eng,VF19D,Eng,-0.4917026387387687,-0.10973221823388012,-0.016293504481754442,0.3245710676476634
VF21A_Eng,VF21A,Eng,-0.07350222635208241,-0.013386813981349756,-0.44410069176454614,0.022734722557856864
VF21B_Eng,VF21B,Eng,0.22171707502041998,0.7174127972709756,0.06509782520287885,0.11191858656854342
VF21C_Eng,VF21C,Eng,0.48614537407244685,0.14821755867653041,-0.015174601770600801,0.3207971717256895
VF21D_Eng,VF21D,Eng,0.5150452744739404,0.13926465806869526,-0.22695270250808536,-0.20682780170137913
VF23B_Eng,VF23B,Eng,-0.42422976689702824,0.04858350917766593,0.03632950644154784,-0.3615054195868033
VF23C_Eng,VF23C,Eng,-0.5901172018500983,0.32003442142189215,-0.020148173226436136,-0.19189075545009174
VF26A_Eng,VF26A,Eng,0.15470782483754303,-0.8382449863722008,-0.05735674963646193,0.006299637032399956
VF32A_Eng,VF32A,Eng,-0.24607532606736537,-0.33614463786840454,0.3721349508238237,0.13028571123846897
