label,speaker,language,dim1,dim2,dim3,dim4,dim5
VF19B_Eng,VF19B,Eng,-0.015557090979198634,-0.10036842762350195,0.07688035000795576,-0.46128978707367574,0.031094745840010013
VF19D_Eng,VF19D,Eng,-0.1742805208907943,-0.12001139117001068,-0.03590930878487596,0.46030863509305214,0.014606445874716505
VF21A_Eng,VF21A,Eng,0.01164894829912319,0.1496500155191639,-0.3331538157474847,-0.042889895113036036,0.28815866226056125
VF21B_Eng,VF21B,Eng,0.4019128192539834,0.1962982167147182,0.36937329441737,0.044960122720676995,-0.12322367635328912
VF21C_Eng,VF21C,Eng,0.22189628090765043,0.2134401960593046,0.28825316546470187,0.03426888028549073,0.2990520577669541
VF21D_Eng,VF21D,Eng,0.7420282673647305,-0.014824194330450655,-0.1966453543268989,0.01705902425073222,-0.024372352431700342
VF23B_Eng,VF23B,Eng,-0.20721421174602586,0.14893587581521547,-0.20160901811252488,-0.04235420822695251,-0.36293186183164894
VF23C_Eng,VF23C,Eng,-0.29526454329109647,0.6353378337900832,-0.11544233707030664,-0.011938462254583842,-0.16816956182666976
VF26A_Eng,VF26A,Eng,0.057948383684241905,-0.8693860146356437,0.006240436971379885,-0.009519913040135781,-0.03982585467685388
VF32A_Eng,VF32A,Eng,-0.7431183326025916,-0.2390721101388747,0.14201258718058096,0.01139560335843369,0.08561139537796626
