label,speaker,language,dim1,dim2,dim3,dim4,dim5,dim6
VF19B_Eng,VF19B,Eng,0.28695411963780726,-0.2908906462350824,0.1661853372603927,-0.33121978803498636,0.1967544826891995,0.06138678422504474
VF19D_Eng,VF19D,Eng,-0.4567819876443678,-0.22399952287658229,-0.11765426270951135,0.28391225762078237,0.08680881059271096,-0.1819617058611903
VF21A_Eng,VF21A,Eng,0.06944584470042423,0.44939139523082544,-0.1595805640586869,-0.09128260491153248,0.33040008582237546,-0.11604046388232947
VF21B_Eng,VF21B,Eng,0.35916247818888136,0.20776447602458545,0.2899496186220084,0.2476918217104,-0.07293506702244557,0.16440032329740617
VF21C_Eng,VF21C,Eng,0.4385334711806394,-0.0033097434634595593,0.28405547115961105,0.17918171014709872,-0.01691958505252558,-0.20581001952421685
VF21D_Eng,VF21D,Eng,0.4103276197009263,0.32346437027707103,-0.36755817043309735,0.06732685631441564,-0.08037477717281834,0.10414222567059757
VF23B_Eng,VF23B,Eng,-0.5512030148193391,0.31367326912340315,0.05743674872810793,-0.1767677754589429,-0.16609657561187635,0.13210819590912515
VF23C_Eng,VF23C,Eng,-0.42185470345370457,0.32028660633056577,0.11091407785596999,-0.2212146578473741,-0.20863765238431736,-0.11398910999262789
VF26A_Eng,VF26A,Eng,0.18417115688226823,-0.6363145174188682,-0.2031572115299131,-0.10431017016646954,-0.256496499057048,-0.06522492726121482
VF32A_Eng,VF32A,Eng,-0.31875498437352295,-0.4600656869924057,-0.06059104489484296,0.14668235062656507,0.1874967771967827,0.22098869741937055
