label,speaker,language,dim1,dim2
VF19B_Eng,VF19B,Eng,0.2366914252050681,0.19558917497345973
VF19D_Eng,VF19D,Eng,-0.4712325041494156,0.34517756114042836
VF21A_Eng,VF21A,Eng,-0.0893620709072099,-0.4534391290622048
VF21B_Eng,VF21B,Eng,0.6185522247048464,-0.31308002398875984
VF21C_Eng,VF21C,Eng,0.6112131217881918,-0.020194797350306576
VF21D_Eng,VF21D,Eng,0.19482158637055594,-0.5541494178824877
VF23B_Eng,VF23B,Eng,-0.7160801483155188,-0.17708439734261358
VF23C_Eng,VF23C,Eng,-0.636560913780242,-0.29698284927795937
VF26A_Eng,VF26A,Eng,0.43889373826473943,0.6685054943479176
VF32A_Eng,VF32A,Eng,-0.1869364591809852,0.6056583844424973
