label,speaker,language,dim1,dim2,dim3
VF19B_Eng,VF19B,Eng,0.47463974932073866,0.18995437154442896,0.3178367546091639
VF19D_Eng,VF19D,Eng,-0.5117293735332721,0.28219305212321655,0.25653851835412106
VF21A_Eng,VF21A,Eng,-0.10244729951994089,-0.34837925443377094,0.36520253489485577
VF21B_Eng,VF21B,Eng,0.378422274295874,-0.3426230782183542,-0.2883129576082784
VF21C_Eng,VF21C,Eng,0.6722059830908867,-0.07556855048640726,-0.06495994606110517
VF21D_Eng,VF21D,Eng,0.11837568801036821,-0.6034756473466047,0.10365182365622239
VF23B_Eng,VF23B,Eng,-0.5883055153305932,-0.03895286205998882,-0.2752994693575085
VF23C_Eng,VF23C,Eng,-0.6329110120401312,-0.22939623897104233,-0.17241567314544537
VF26A_Eng,VF26A,Eng,0.26299357756109926,0.5101139289231587,-0.33408172411237813
VF32A_Eng,VF32A,Eng,-0.0712440718550495,0.6561342789253006,0.09184013877038219
