label,speaker,language,dim1,dim2
VF19B_Eng,VF19B,Eng,0.010426846365995321,0.2532622890947572
VF19D_Eng,VF19D,Eng,0.6087381822655946,-0.1347343515893521
VF21A_Eng,VF21A,Eng,-0.34119268489640225,-0.346037296194885
VF21B_Eng,VF21B,Eng,-0.6232880841064717,0.2833139972306757
VF21C_Eng,VF21C,Eng,-0.3596710261714814,0.49170506258827557
VF21D_Eng,VF21D,Eng,-0.6458692951026412,-0.12076355477029313
VF23B_Eng,VF23B,Eng,0.07133777246851268,-0.6925683851051094
VF23C_Eng,VF23C,Eng,0.18469021388404078,-0.5994477454469951
VF26A_Eng,VF26A,Eng,0.4274916343263108,0.6896700551454288
VF32A_Eng,VF32A,Eng,0.667336440966591,0.17559992904753313
