label,speaker,language,dim1,dim2,dim3
VF19B_Eng,VF19B,Eng,-0.3875297257596613,-0.03386765697896707,0.2715970217900987
VF19D_Eng,VF19D,Eng,0.47023538035782714,0.46959638853417374,-0.12124528524089272
VF21A_Eng,VF21A,Eng,0.02861536304972717,-0.05614688274253444,-0.42001105019956886
VF21B_Eng,VF21B,Eng,-0.6441979107348618,0.12485834771130676,-0.20826314472776847
VF21C_Eng,VF21C,Eng,-0.4469026796666726,0.5400007785622593,-0.029211517813049606
VF21D_Eng,VF21D,Eng,-0.4945516836499678,-0.4914870785157818,-0.06166284983236012
VF23B_Eng,VF23B,Eng,0.348783170781708,-0.6238775084978047,8.623131607678816e-4
VF23C_Eng,VF23C,Eng,0.5014747489226541,-0.4297423529746504,-0.13523211584970585
VF26A_Eng,VF26A,Eng,0.21757689148146941,-0.017555286184912568,0.5111692702755145
VF32A_Eng,VF32A,Eng,0.40649644521773776,0.518221251086931,0.19199735843696678
