label,speaker,language,dim1,dim2,dim3,dim4,dim5,dim6,dim7
VF19B_Eng,VF19B,Eng,-0.1374459855388156,0.26718567558109996,0.2220769086571227,-0.35264543381501035,0.1969064506519752,0.1527393143754664,-0.006269362660745369
VF19D_Eng,VF19D,Eng,0.5009850749038588,-0.11282859374814787,-0.27053302345712915,0.14141122377986973,0.1148057402586119,0.06477394226409836,-0.08547628872915232
VF21A_Eng,VF21A,Eng,-0.1268537179957822,-0.2532985961294276,0.1896038244591041,0.15612114302389996,0.3024112615926184,-0.19579975272654884,0.01173541009612412
VF21B_Eng,VF21B,Eng,-0.5193760259241953,0.07990824542766008,-0.2990057309696351,-0.11113773504439972,-0.07079250491366403,-0.08415931850493033,0.08242454184285365
VF21C_Eng,VF21C,Eng,-0.43093142276580987,0.2190890328672176,-0.26706067888998475,-0.1514834329938362,-0.041164166525931724,-0.11584059268564262,-0.08445992459442185
VF21D_Eng,VF21D,Eng,-0.4681271701306253,0.07306805618844851,0.0841328801813328,0.42546864862414074,-0.0576281467387156,0.14582681686066612,-0.003829859634558325
VF23B_Eng,VF23B,Eng,0.06588010421994453,-0.5603001058358433,0.1804658574946742,-0.12169987413734264,-0.21976845451105284,0.1312985927072824,0.004953442180826563
VF23C_Eng,VF23C,Eng,0.20397876249078353,-0.49898807279915247,0.18088130532023786,-0.1354047030311027,-0.2273082873174753,-0.12510206647795985,-0.0027700490042368055
VF26A_Eng,VF26A,Eng,0.36577857927446783,0.7100474321354383,0.21756024210235833,0.1084772058962875,-0.10939577774346113,-0.09530539288362759,-0.001305564388129378
VF32A_Eng,VF32A,Eng,0.5461118014661615,0.07611692631270628,-0.23812158489805138,0.04089295769749693,0.11193388524714958,0.12156845707115851,0.08499765489142863
