label,speaker,language,dim1,dim2,dim3
VF19B_Mixed,VF19B,Mixed,0.4398228012422186,-0.48118359060989746,-0.004736199564580022
VF19D_Mixed,VF19D,Mixed,-0.29715709779852756,0.2932688949409687,0.40591213918138264
VF21A_Mixed,VF21A,Mixed,-0.1146108642172978,-0.41417665080005023,0.39546068275899254
VF21B_Mixed,VF21B,Mixed,0.5092920172508608,-0.00937621075054651,0.23051448422657475
VF21C_Mixed,VF21C,Mixed,0.5987707732570349,0.2948930728130171,-0.05778030715940556
VF21D_Mixed,VF21D,Mixed,0.3038995979703195,-0.1535752955898289,-0.40860368933257046
VF23B_Mixed,VF23B,Mixed,-0.7301931700487652,-0.14321884088803377,-0.09234746081633298
VF23C_Mixed,VF23C,Mixed,-0.3864389038110818,-0.5753176302243412,-0.1522632739561049
VF26A_Mixed,VF26A,Mixed,-0.16283708146945852,0.48519981733170053,-0.40493011486405084
VF32A_Mixed,VF32A,Mixed,-0.1605480723753297,0.7034864337770154,0.08877373952610026
