label,speaker,language,dim1,dim2,dim3,dim4,dim5,dim6,dim7
VF19B_Mixed,VF19B,Mixed,0.276820072492842,-0.19788288668093043,-0.08265967992143163,0.0878478259447676,0.4633153488662025,0.0859336146216789,-0.014153896847129298
VF19D_Mixed,VF19D,Mixed,-0.3998356970465459,0.12704872538661954,0.3915713455421381,0.0728643337717325,0.009601603723847192,0.01489983154975913,-0.2065484797907428
VF21A_Mixed,VF21A,Mixed,-0.07781715402693577,0.0314306843206815,0.14670876938723,-0.5477955922597699,0.057165583971751324,0.13972156290461646,0.018630157559606772
VF21B_Mixed,VF21B,Mixed,0.3233952005685152,-0.6057432560705097,0.18081158292397628,0.06959436900976106,-0.04073861243784188,-0.13702468322574152,0.05819903613746772
VF21C_Mixed,VF21C,Mixed,0.37855521360806177,-0.2585730565367105,-0.04139490787404753,0.08980685622754936,-0.31095224535907134,0.27266335376426265,-0.03630505767671832
VF21D_Mixed,VF21D,Mixed,0.4604015308642126,0.154680723379449,-0.01210165298283812,-0.12947993005274439,-0.09041076671108829,-0.3706595295291559,-0.024481437430238506
VF23B_Mixed,VF23B,Mixed,-0.48395999589589045,-0.15774534031005094,-0.3587032438004486,0.08175405452993921,-0.03976618174291042,-0.10550282190388262,-0.202627455627307
VF23C_Mixed,VF23C,Mixed,-0.4715377355143406,-0.14896692539036996,-0.30132035119640643,-0.1602539539669642,-0.04732093594625928,-0.04774291978888641,0.22275524235632743
VF26A_Mixed,VF26A,Mixed,0.21852659368449248,0.7413004399259616,-0.18052044133678205,0.07369984488478629,0.008757789018157974,0.1340129757341037,-0.0126738453927227
VF32A_Mixed,VF32A,Mixed,-0.2245480287344274,0.3144508919757968,0.2576085792586177,0.3619621919109246,-0.009651583382808906,0.013698615873253168,0.19720573671153163
