label,speaker,language,dim1,dim2,dim3
VF19B_Mixed,VF19B,Mixed,-0.03748217799736975,-0.2564801620826405,0.46356629986215414
VF19D_Mixed,VF19D,Mixed,-0.3692576240863234,0.5350086027922265,-0.048006298228649616
VF21A_Mixed,VF21A,Mixed,-0.6399817650752048,-0.04984358959121772,0.21762032096717268
VF21B_Mixed,VF21B,Mixed,0.16107835651778804,-0.5590593205059081,0.09706279640314625
VF21C_Mixed,VF21C,Mixed,0.61525984590267,-0.1620914753139317,0.22234637010741834
VF21D_Mixed,VF21D,Mixed,0.4145492578002398,-0.3855473274329052,-0.2130149837675439
VF23B_Mixed,VF23B,Mixed,-0.2690492531454986,0.06739766746664265,-0.5482056300433821
VF23C_Mixed,VF23C,Mixed,-0.5387617931035124,-0.2986252038901888,-0.2675456240467584
VF26A_Mixed,VF26A,Mixed,0.5291412117050657,0.45691980285122724,-0.17942739558655468
VF32A_Mixed,VF32A,Mixed,0.1345039414820955,0.6523210057066814,0.2556041443330841
