label,speaker,language,dim1,dim2,dim3,dim4,dim5
VF19B_Mixed,VF19B,Mixed,0.06744447938021814,-0.1641879995489846,0.00619269421460119,-0.08212498580612701,0.4406070098049042
VF19D_Mixed,VF19D,Mixed,-0.23636175188548386,0.40414411576352793,-0.13295227965314432,0.4024285613027879,0.06578376158059537
VF21A_Mixed,VF21A,Mixed,-0.495163069392724,-0.2139122223915707,0.39764271843736454,0.1509297245044312,-0.007691307999675558
VF21B_Mixed,VF21B,Mixed,0.3804178170672375,-0.45388989758853754,-0.09464868526812825,0.24210595094778636,0.087880429069182725
VF21C_Mixed,VF21C,Mixed,0.34524666053357295,-0.2076672041561435,0.04809094796155524,0.1362270892216847,-0.3679915055604275
VF21D_Mixed,VF21D,Mixed,0.30914485451208984,-0.39681552395840936,0.15378805479959734,-0.3584349514095267,-0.03299245461501756
VF23B_Mixed,VF23B,Mixed,-0.41614776582823043,-0.1526837445183148,-0.5234838414385727,-0.031304488072222164,-0.06119566116663843
VF23C_Mixed,VF23C,Mixed,-0.6068030836706684,0.1018488679692667,-0.003812454233923769,-0.3152243405953345,-0.11991533190183001
VF26A_Mixed,VF26A,Mixed,0.43131134089849515,0.5048682255595334,-0.2178875168938358,-0.22485162758930455,-0.04448817543874772
VF32A_Mixed,VF32A,Mixed,0.22091051838550524,0.5782953828696747,0.3670703620745288,0.08024906749581948,0.04000323622764522
