label,speaker,language,dim1,dim2
VF19B_Mixed,VF19B,Mixed,-0.15674961100561446,0.42540660993172974
VF19D_Mixed,VF19D,Mixed,-0.3868947169290325,-0.42572861951618923
VF21A_Mixed,VF21A,Mixed,0.19102681240853345,-0.17761150090477384
VF21B_Mixed,VF21B,Mixed,0.2766197745087572,0.3761647934491167
VF21C_Mixed,VF21C,Mixed,0.09004904322921603,0.6585844836366282
VF21D_Mixed,VF21D,Mixed,0.5804436918462084,0.3109807391540634
VF23B_Mixed,VF23B,Mixed,0.22925826341277136,-0.7786725929068046
VF23C_Mixed,VF23C,Mixed,0.6069103272458254,-0.422104262313432
VF26A_Mixed,VF26A,Mixed,-0.7500375127124963,0.24026198228995552
VF32A_Mixed,VF32A,Mixed,-0.6806260720042044,-0.20728163282036133
