label,speaker,language,dim1,dim2,dim3,dim4
VF19B_Mixed,VF19B,Mixed,0.15715483354629795,0.6588735895503255,-0.008428699236000807,0.08179945087056473
VF19D_Mixed,VF19D,Mixed,-0.5158657896407681,-0.46528613908442557,-0.11163567124961549,0.1131567538934056
VF21A_Mixed,VF21A,Mixed,0.09062800184191838,-0.02308941974361442,-0.05462070439538661,0.4974515874173402
VF21B_Mixed,VF21B,Mixed,-0.006560205746018372,0.11896217277767776,0.44887648265052127,0.06586784894553367
VF21C_Mixed,VF21C,Mixed,-0.5776183155816071,0.3342108771758488,0.23053814989900479,0.036075612652149466
VF21D_Mixed,VF21D,Mixed,0.26347823398301573,0.2779325145404325,0.16074505220840474,-0.3870760631238059
VF23B_Mixed,VF23B,Mixed,0.3200449289653213,-0.6941931990938954,0.17426593919308547,-0.07342779860658319
VF23C_Mixed,VF23C,Mixed,0.7625877810238834,-0.2053293517059946,-0.08821188227867414,0.07532202339660715
VF26A_Mixed,VF26A,Mixed,-0.0920249480937683,0.2064204495516685,-0.5278008094178988,-0.03279265493312467
VF32A_Mixed,VF32A,Mixed,-0.40182452029827104,-0.208501493968032,-0.22372785737344472,-0.37637676051211344
