label,speaker,language,dim1,dim2,dim3,dim4,dim5
VF19B_Mixed,VF19B,Mixed,-0.46473386664769134,0.41597594930954,0.1857282865281155,0.03823946436507582,0.19108540140729446
VF19D_Mixed,VF19D,Mixed,-0.4868621760967113,-0.4994517020156417,0.07480799668046408,0.15345233001854133,-0.13403672952348608
VF21A_Mixed,VF21A,Mixed,0.20762310653500887,0.07843300009403373,0.006784596609402806,0.5047619880701395,0.04127724586209388
VF21B_Mixed,VF21B,Mixed,0.18657482361574146,0.14637847763957007,0.47473044802214076,-0.12057572367524202,-0.07500296496780537
VF21C_Mixed,VF21C,Mixed,-0.03483611360535345,0.437273624416062,0.03162259992412364,0.023231428861991112,-0.3614588931908812
VF21D_Mixed,VF21D,Mixed,0.41704447616698653,0.4835448547710673,-0.11182675972322002,-0.22168209830015,0.1224830202381477
VF23B_Mixed,VF23B,Mixed,0.19416141391998062,-0.49271305661368264,0.10551779555115182,-0.05413881423801392,0.3593259254212631
VF23C_Mixed,VF23C,Mixed,0.6722936087542171,-0.41724702475763725,-0.08957425745606691,0.019569883722111703,-0.10135896649935652
VF26A_Mixed,VF26A,Mixed,-0.28215970529783435,0.08758030079427258,-0.5445806190004254,0.07911270990384214,0.03659205917435446
VF32A_Mixed,VF32A,Mixed,-0.4091055673443211,-0.23977442363759058,-0.133210087135681,-0.4219711687283098,-0.07890609792163178
