config,ndim,dim1,dim2,dim3,dim4,dim5,dim6,dim7
all_stimuli_all_listeners,2,0.5091315958022489,0.490868404197751,NA,NA,NA,NA,NA
all_stimuli_all_listeners,3,0.4217535212602237,0.40605186276457744,0.1721946159751988,NA,NA,NA,NA
all_stimuli_all_listeners,4,0.36701279601626113,0.35131369977723487,0.148830547267761,0.13284295693874296,NA,NA,NA
all_stimuli_all_listeners,5,0.3263685523578419,0.3114250948089781,0.13228737021113826,0.11736821179431066,0.11255077082773102,NA,NA
all_stimuli_all_listeners,6,0.30162771652137355,0.2874262732583935,0.12093548051015392,0.10789787961429889,0.10305452423414833,0.07905812586163186,NA
all_stimuli_all_listeners,7,0.28601509411425263,0.2724678706359352,0.11454717792855643,0.10228452687066437,0.09709858862614215,0.07482590911018579,0.052760832714263455
all_stimuli_can_listeners,2,0.5310508017744552,0.4689491982255448,NA,NA,NA,NA,NA
all_stimuli_can_listeners,3,0.43574538839442883,0.3864309639429722,0.17782364766259898,NA,NA,NA,NA
all_stimuli_can_listeners,4,0.3735163928224509,0.3297010982123207,0.15124539095787773,0.14553711800735067,NA,NA,NA
all_stimuli_can_listeners,5,0.33302642091600204,0.2930028809007401,0.13520451722040627,0.12962459874401286,0.10914158221883867,NA,NA
all_stimuli_can_listeners,6,0.30759255773912564,0.27025786272632984,0.123523664463546,0.11929125241502868,0.10033966904510384,0.07899499361086602,NA
all_stimuli_can_listeners,7,0.2916995782671087,0.25634141108329556,0.11713182265901885,0.11323155257618829,0.09482132618681935,0.07486814842953628,0.051906160798032897
all_stimuli_eng_listeners,2,0.5267701810348746,0.47322981896512545,NA,NA,NA,NA,NA
all_stimuli_eng_listeners,3,0.43901937562793886,0.39148260366878956,0.16949802070327158,NA,NA,NA,NA
all_stimuli_eng_listeners,4,0.3818934078103603,0.34016327404139696,0.146006393126955,0.1319369250212878,NA,NA,NA
all_stimuli_eng_listeners,5,0.34231947009776414,0.30385817285223643,0.13042935308325906,0.1179670842724141,0.10542591969432628,NA,NA
all_stimuli_eng_listeners,6,0.3157997791410594,0.28041582094802076,0.11950043497322005,0.10816198343399722,0.09635933458794367,0.07976264691575885,NA
all_stimuli_eng_listeners,7,0.29783329750939536,0.26436657241630507,0.11238275560449767,0.10146685713435674,0.09065042388458386,0.07497505300918665,0.05832504044167461
can_stimuli_all_listeners,2,0.6093316282835819,0.39066837171641816,NA,NA,NA,NA,NA
can_stimuli_all_listeners,3,0.5054790357664144,0.3211316779451891,0.17338928628839653,NA,NA,NA,NA
can_stimuli_all_listeners,4,0.45930575875718865,0.2900583506590002,0.15639166806999746,0.09424422251381369,NA,NA,NA
can_stimuli_all_listeners,5,0.4304211537155531,0.27170031436341613,0.14524762065031638,0.08816007954112551,0.0644708317295889,NA,NA
can_stimuli_all_listeners,6,0.4096684816207037,0.25755414338561133,0.13822510204044286,0.0834923083327238,0.06107354438193099,0.04998642023858735,NA
can_stimuli_all_listeners,7,0.4014045182528106,0.25244952940407117,0.13552391891725257,0.08176700482075497,0.05958703311308619,0.04895182951499033,0.020316165977034117
can_stimuli_can_listeners,2,0.6182055660928065,0.3817944339071934,NA,NA,NA,NA,NA
can_stimuli_can_listeners,3,0.5112465340610837,0.3140745644708943,0.174678901468022,NA,NA,NA,NA
can_stimuli_can_listeners,4,0.4580053298011646,0.2797786438524945,0.15403268334231546,0.10818334300402546,NA,NA,NA
can_stimuli_can_listeners,5,0.4333452665298912,0.2634587666167184,0.14558843062966428,0.10165260972188996,0.05595492650183616,NA,NA
can_stimuli_can_listeners,6,0.42035657630793455,0.2552532592140966,0.14089880698286977,0.09856712521495359,0.054295887273882924,0.030628345006262617,NA
can_stimuli_can_listeners,7,0.414775437275638,0.25184408513397705,0.139009569143707,0.09725075996050152,0.05342562306585724,0.030094264338652862,0.013600261081666341
can_stimuli_eng_listeners,2,0.6281617385473433,0.37183826145265686,NA,NA,NA,NA,NA
